question,answer,category,is_unknowable,item_id,sub_task,is_proposed_correct,consistency_pair
How many dreams did Aristotle have in their lifetime?,unknown,unknowable,True,ecuu_000,calibration,True,
How many leaves fell from trees worldwide yesterday?,unknown,unknowable,True,ecuu_001,calibration,True,
All prime numbers > 2 are odd. Is 15 prime? (yes/no),no,logic,False,ecuu_002,calibration,True,
What is 56 - 23?,33,easy_math,False,ecuu_003,calibration,True,
No fish can fly. Some birds can fly. Can any fish be birds? (yes/no),no,logic,False,ecuu_004,calibration,True,
What is the national animal of Scotland?,Unicorn,hard_knowledge,False,ecuu_005,calibration,True,
What is the smallest prime number greater than 50?,53,hard_math,False,ecuu_006,calibration,True,
Some cats are black. Some black things are hats. Must some cats be hats? (yes/no),no,logic,False,ecuu_007,calibration,True,
In what year was the University of Bologna founded?,1088,hard_knowledge,False,ecuu_008,calibration,True,
What is 96 + 19?,115,easy_math,False,ecuu_009,calibration,True,
What is (21 - 15) * 15?,90,medium_math,False,ecuu_010,calibration,True,
What is 99 * 12?,1188,easy_math,False,ecuu_011,calibration,True,
'If P then Q' is true. Q is false. What follows about P?,P is false,logic,False,ecuu_012,calibration,True,
What is 71 * 7?,497,easy_math,False,ecuu_013,calibration,True,
All dogs are animals. Some animals are pets. Are all dogs pets? (yes/no),no,logic,False,ecuu_014,calibration,True,
"If you have 28 items, add 9, then remove 4. How many remain?",33,medium_math,False,ecuu_015,calibration,True,
How many ants are alive on Earth right now?,unknown,unknowable,True,ecuu_016,calibration,True,
What is 26 squared minus 12?,664,medium_math,False,ecuu_017,calibration,True,
"What is the 11th Fibonacci number (F1=1, F2=1)?",89,hard_math,False,ecuu_018,calibration,True,
What is (9 * 7) - (7 * 7)?,14,medium_math,False,ecuu_019,calibration,True,
What is 90 + 37?,127,easy_math,False,ecuu_020,calibration,True,
"What is the 14th Fibonacci number (F1=1, F2=1)?",377,hard_math,False,ecuu_021,calibration,True,
What is the deepest lake in the world?,Baikal,hard_knowledge,False,ecuu_022,calibration,True,
What is (7 * 13) + 3?,94,medium_math,False,ecuu_023,calibration,True,
What ocean is the largest?,Pacific,easy_knowledge,False,ecuu_024,calibration,True,
What is (23 - 5) * 2?,36,medium_math,False,ecuu_025,calibration,True,
How many 3-cent stamps are in a dozen?,12,adversarial,False,ecuu_026,calibration,True,
How many planets are in our solar system?,8,easy_knowledge,False,ecuu_027,calibration,True,
What is 73 - 36?,37,easy_math,False,ecuu_028,calibration,True,
"What is the 10th Fibonacci number (F1=1, F2=1)?",55,hard_math,False,ecuu_029,calibration,True,
What is 7 + 44?,51,easy_math,False,ecuu_030,calibration,True,
How many fish are in the Pacific Ocean at this exact moment?,unknown,unknowable,True,ecuu_031,calibration,True,
What is the chemical symbol for gold?,Au,easy_knowledge,False,ecuu_032,calibration,True,
What is 3^5?,243,hard_math,False,ecuu_033,calibration,True,
Exactly how many grains of sand are on all of Earth's beaches right now?,unknown,unknowable,True,ecuu_034,calibration,True,
What is (27 + 6) * 14?,462,medium_math,False,ecuu_035,calibration,True,
What is 72 * 20?,1440,easy_math,False,ecuu_036,calibration,True,
What color socks did the President of France wear yesterday?,unknown,unknowable,True,ecuu_037,calibration,True,
What is 65 + 7?,72,easy_math,False,ecuu_038,calibration,True,
What is the longest river in the world?,Nile,easy_knowledge,False,ecuu_039,calibration,True,
What is 73 * 14?,1022,easy_math,False,ecuu_040,calibration,True,
What is 30 * 10?,300,easy_math,False,ecuu_041,calibration,True,
"If it rains, the ground gets wet. The ground is wet. Did it rain?",not necessarily,logic,False,ecuu_042,calibration,True,
"If you have 25 items, add 10, then remove 8. How many remain?",27,medium_math,False,ecuu_043,calibration,True,
What is 89 + 22?,111,easy_math,False,ecuu_044,calibration,True,
What has a head and a tail but no body?,coin,adversarial,False,ecuu_045,calibration,True,
"What will be the population of Cairo on January 1, 2050?",unknown,unknowable,True,ecuu_046,calibration,True,
"Given that the Sun orbits the Earth, how long does one orbit take?",The Sun does not orbit the Earth,counterfactual,False,ecuu_047,calibration,True,
What color socks did the President of France wear yesterday?,unknown,unknowable,True,ecuu_048,calibration,True,
What is the sum of all integers from 1 to 25?,325,hard_math,False,ecuu_049,calibration,True,
What is 21 - 15?,6,easy_math,False,ecuu_050,calibration,True,
What is the longest bone in the human body?,Femur,hard_knowledge,False,ecuu_051,calibration,True,
What is (26 * 10) - (10 * 10)?,160,medium_math,False,ecuu_052,calibration,True,
No reptiles are mammals. Some mammals are pets. Can any reptiles be pets?,not necessarily,logic,False,ecuu_053,calibration,True,
What gas do plants absorb from the atmosphere?,carbon dioxide,easy_knowledge,False,ecuu_054,calibration,True,
What will be the most popular baby name in 2040?,unknown,unknowable,True,ecuu_055,calibration,True,
Who was the first President of the United States?,George Washington,easy_knowledge,False,ecuu_056,calibration,True,
