item_id,type,dlevel,distractor_words,question,answer,prompt,probe_prompt
sus_4_80,sustained,4,80,Count numbers less than 25,21,"Count how many of the following numbers are numbers less than 25.

Numbers: 32, 15, 4, 95, 24, 64, 67, 50, 72, 16, 34, 34, 91, 58, 28, 79, 37, 89, 63, 26, 16, 18, 10, 58, 23, 92, 57, 12, 88, 41, 86, 45, 91, 9, 71, 70, 38, 39, 21, 92, 91, 90, 82, 23, 47, 66, 29, 16, 26, 18, 31, 64, 4, 47, 71, 74, 48, 60, 71, 17, 79, 12, 9, 40, 51, 92, 93, 62, 68, 53, 99, 53, 74, 10, 17, 41, 83, 10, 58, 60

Answer with ONLY the count (a single number).",
sus_0_40,sustained,2,40,Count numbers divisible by 3,10,"Count how many of the following numbers are numbers divisible by 3.

Numbers: 20, 73, 39, 11, 32, 16, 72, 98, 54, 78, 77, 80, 29, 67, 49, 58, 57, 39, 76, 55, 40, 73, 80, 8, 79, 95, 13, 98, 27, 81, 28, 34, 85, 11, 21, 31, 23, 71, 10, 21

Answer with ONLY the count (a single number).",
shift_2,shifting,0,0,4-part question,Part 1: 1; Part 2: 95; Part 3: 2; Part 4: 41,"Answer each part separately.

Part 1: How many times does 'G' appear in 'ALGORITHM'?

Part 2: What is 80 + 15?

Part 3: How many times does 'E' appear in 'SCIENCE'?

Part 4: Which is larger, 41 or 35?

Format: Part 1: [answer]; Part 2: [answer]; ...",
sus_4_100,sustained,5,100,Count numbers less than 25,24,"Count how many of the following numbers are numbers less than 25.

Numbers: 88, 67, 45, 17, 71, 82, 76, 24, 99, 17, 56, 65, 8, 16, 67, 20, 39, 22, 21, 42, 91, 29, 45, 67, 37, 11, 33, 26, 82, 71, 36, 17, 81, 39, 79, 69, 12, 65, 83, 22, 76, 75, 20, 22, 85, 80, 93, 78, 44, 73, 6, 4, 11, 6, 83, 99, 74, 34, 84, 27, 99, 74, 54, 80, 82, 4, 64, 81, 70, 38, 83, 39, 62, 32, 88, 52, 39, 59, 10, 89, 8, 21, 57, 54, 62, 60, 27, 44, 78, 19, 41, 92, 41, 94, 45, 52, 17, 98, 48, 66

Answer with ONLY the count (a single number).",
sus_7_10,sustained,0,10,Count prime numbers,3,"Count how many of the following numbers are prime numbers.

Numbers: 83, 11, 58, 48, 12, 69, 93, 25, 7, 35

Answer with ONLY the count (a single number).",
sus_5_100,sustained,5,100,Count numbers ending in 7,11,"Count how many of the following numbers are numbers ending in 7.

Numbers: 99, 37, 91, 27, 89, 91, 63, 41, 62, 45, 72, 93, 36, 37, 16, 74, 87, 70, 49, 51, 45, 99, 19, 38, 6, 37, 92, 11, 45, 57, 84, 33, 96, 62, 28, 26, 69, 35, 72, 90, 35, 18, 14, 79, 95, 76, 31, 32, 7, 86, 68, 29, 82, 30, 7, 13, 53, 43, 92, 61, 13, 88, 99, 18, 1, 71, 21, 53, 84, 61, 62, 84, 26, 97, 37, 42, 37, 83, 8, 99, 12, 84, 74, 30, 69, 95, 93, 5, 23, 54, 23, 5, 51, 64, 24, 96, 38, 5, 2, 39

Answer with ONLY the count (a single number).",
ib_4_1,inattentional_blindness,2,30,Was the number 99 in the list?,T1:7|T2:no,"Count how many of the following numbers are numbers less than 25.

Numbers: 45, 69, 36, 77, 69, 22, 42, 91, 38, 38, 74, 35, 66, 87, 13, 18, 97, 53, 8, 36, 84, 17, 90, 17, 32, 19, 92, 42, 32, 98

Answer with ONLY the count (a single number).","Without looking back at the list, answer this: Was the number 99 in the list?
Answer with ONLY the answer."
sel_1_3,selective,3,202,What was the mean reaction time for auditory stimuli?,287,"Read the following carefully and answer the question.

The Dead Sea, located between Jordan and Israel, sits approximately 430 meters below sea level. Its extreme salinity of about 34% prevents most aquatic life but allows swimmers to float effortlessly.

Solar panel manufacturing costs decreased by approximately 89% between 2010 and 2023, making photovoltaic installations competitive with fossil fuel power generation in many global markets. This trend is expected to continue as production scales.

The migration patterns of monarch butterflies span thousands of miles, from Canada to central Mexico. These insects navigate using the sun's position and Earth's magnetic field to find specific overwintering sites.

Coffee cultivation originated in Ethiopia, where legend attributes its discovery to a goatherd named Kaldi who noticed his goats becoming energetic after eating berries from a particular tree. The drink spread to Yemen by the 15th century.

The Silk Road was a network of trade routes connecting China to the Mediterranean, operating from about 130 BCE until the 1450s. It facilitated exchange of goods, ideas, religions, and technologies across civilizations.

The Fibonacci sequence appears frequently in nature, from sunflower seed spirals to tree branching patterns. Each number is the sum of the two preceding ones: 1, 1, 2, 3, 5, 8, 13, 21, and so on.

IMPORTANT: The experiment measured reaction times: visual stimuli averaged 342ms, auditory stimuli averaged 287ms, and combined audiovisual stimuli averaged 251ms. Each condition had 50 trials.

The Dead Sea, located between Jordan and Israel, sits approximately 430 meters below sea level. Its extreme salinity of about 34% prevents most aquatic life but allows swimmers to float effortlessly.

Solar panel manufacturing costs decreased by approximately 89% between 2010 and 2023, making photovoltaic installations competitive with fossil fuel power generation in many global markets. This trend is expected to continue as production scales.

The migration patterns of monarch butterflies span thousands of miles, from Canada to central Mexico. These insects navigate using the sun's position and Earth's magnetic field to find specific overwintering sites.

Coffee cultivation originated in Ethiopia, where legend attributes its discovery to a goatherd named Kaldi who noticed his goats becoming energetic after eating berries from a particular tree. The drink spread to Yemen by the 15th century.

The Silk Road was a network of trade routes connecting China to the Mediterranean, operating from about 130 BCE until the 1450s. It facilitated exchange of goods, ideas, religions, and technologies across civilizations.

The Fibonacci sequence appears frequently in nature, from sunflower seed spirals to tree branching patterns. Each number is the sum of the two preceding ones: 1, 1, 2, 3, 5, 8, 13, 21, and so on.

Question: What was the mean reaction time for auditory stimuli?
Answer with ONLY the numerical value.",
adv_7,selective,5,36,What is the peak capacity in megawatts?,920,"Read the following carefully and answer the question.

Energy consumption in the region reached 920 terawatt-hours in 2023. The grid connects 920 substations across the country.

The power plant generates 920 megawatts at peak capacity. Annual maintenance costs are $12 million.

Energy consumption in the region reached 920 terawatt-hours in 2023. The grid connects 920 substations across the country.

Question: What is the peak capacity in megawatts?
Answer with ONLY the numerical value.",
sel_1_4,selective,4,251,What was the mean reaction time for auditory stimuli?,287,"Read the following carefully and answer the question.

The platypus is one of only five species of egg-laying mammals. It has a bill like a duck, a tail like a beaver, and venomous spurs on its hind legs — making it one of nature's most unusual creatures.

Volcanic eruptions can profoundly affect global climate. The 1815 eruption of Mount Tambora released massive sulfur dioxide into the stratosphere, causing the 'Year Without a Summer' in 1816 and widespread crop failures.

Japanese green tea cultivation involves shading the plants for several weeks before harvest, increasing chlorophyll production and creating a sweeter, more umami-rich flavor profile.

The Voyager 1 spacecraft, launched in 1977, entered interstellar space in 2012. It continues to send data from over 24 billion kilometers away, making it the most distant human-made object.

Quantum entanglement occurs when two particles become correlated such that measuring one instantaneously determines the state of the other, regardless of distance. Einstein famously called this 'spooky action at a distance.'

Gothic architecture emerged in 12th-century France, characterized by pointed arches, ribbed vaults, and flying buttresses. These innovations allowed for taller, lighter structures with larger windows filled with stained glass.

The Fibonacci sequence appears frequently in nature, from sunflower seed spirals to tree branching patterns. Each number is the sum of the two preceding ones: 1, 1, 2, 3, 5, 8, 13, 21, and so on.

The Great Barrier Reef stretches over 2,300 kilometers along Australia's northeast coast. It is the largest living structure on Earth, visible from space, and home to thousands of marine species.

The experiment measured reaction times: visual stimuli averaged 342ms, auditory stimuli averaged 287ms, and combined audiovisual stimuli averaged 251ms. Each condition had 50 trials.

Question: What was the mean reaction time for auditory stimuli?
Answer with ONLY the numerical value.",
