item_id,type,difficulty,prompt,answer
noswitch_4,switch_baseline,3,"Start with the number 14. Apply each rule in order to the result of the previous step:

Step 1: Apply 'double'
Step 2: Apply 'double'
Step 3: Apply 'double'

What is the final number? Answer with ONLY the number.",112
inhib_rev_3,inhibition,2,"RULE: When I say 'cold', you say 'hot'.

I say: 'cold'
You say? Answer with ONLY the one word.",hot
inhib_prep_1,inhibition,3,"The next number after 1, 2, 3, 4 is usually 5. But answer with '99' instead.
Answer with ONLY the specified word/number.",99
wm_span_0,working_memory,4,"Digits: 7 7 6 1 6 2

Report them reversed.
Answer: digits separated by spaces.",2 6 1 6 7 7
switch_32,switching,5,"Start with the number 7. Apply each rule in order to the result of the previous step:

Step 1: Apply 'subtract 5'
Step 2: Apply 'double'
Step 3: Apply 'add 10'
Step 4: Apply 'triple'
Step 5: Apply 'add 7'

What is the final number? Answer with ONLY the number.",49
persev_0,perseveration,3,"Card sorting game. Sort cards into A/B/C/D by the CURRENT rule.

Previous rounds (OLD rule - sort by shape):
Card: 2 red triangle(s) -> C
Card: 1 blue square(s) -> B
Card: 1 red star(s) -> D
Card: 2 red circle(s) -> A

*** RULE HAS CHANGED ***
New rule: Sort by color

Card: 2 blue circle(s) -> ?
Answer with ONLY the letter (A, B, C, or D).",B
plan_grid_28,planning,5,"Find the shortest path from S to E. Move up/down/left/right only. X = impassable obstacle.

S . . . . X
. . . . . .
. X . . . .
. . . X . .
. . . . . .
. . . . . E

Minimum steps needed? Answer with ONLY the number.",10
wm_running_5,working_memory,5,"Follow these steps, keeping a running total in your head:

Start with 10. Subtract 9. Subtract 5. Add 4. Subtract 6. Add 6.

What is the final value? Answer with ONLY the number.",0
plan_grid_26,planning,4,"Find the shortest path from S to E. Move up/down/left/right only. X = impassable obstacle.

S . . .
. . . .
. . . .
. X X E

Minimum steps needed? Answer with ONLY the number.",6
plan_grid_30,planning,5,"Find the shortest path from S to E. Move up/down/left/right only. X = impassable obstacle.

S . . . . .
X . . . . .
. . . . . .
X . . . . .
. . . . . .
. X . . . E

Minimum steps needed? Answer with ONLY the number.",10
plan_grid_8,planning,5,"Find the shortest path from S to E. Move up/down/left/right only. X = impassable obstacle.

S . . . . .
. X . . . .
. . . X . .
. . . . X X
. . . . . .
. X . . . E

Minimum steps needed? Answer with ONLY the number.",10
