item_id,difficulty,sub_task,training,question,answer,test_type,feedback_q,feedback_correct,feedback_wrong
zs_0_1_0,1,zero_shot,"Examples from an alien language:

1. 'xeieiii aache eieiii' = 'The mountain knows the cat'
2. 'eiachmiidz eim eieiii' = 'The child knows the star'
3. 'aache xuu adze' = 'The cat runs the tree'
4. 'xuu xeieiii maiicha' = 'The tree sees the mountain'
5. 'eim miidzeixxii eieiii' = 'The star knows the fire'
6. 'eim aache adze' = 'The star runs the cat'
7. 'ma ma adze' = 'The river runs the river'
8. 'xuu xuu eieiii' = 'The tree knows the tree'
9. Rule: To make a verb past tense, add 'ei' at the beginning. 'xuu' → 'eixuu'
10. Rule: To negate a word, change all 'ei' to 'ii'. 'eieiii' → 'iiiiii'
11. Rule: To negate a word, change all 'ei' to 'ii'. 'eiachmiidz' → 'iiachmiidz'
12. 'xeieiii ma maiicha' = 'The mountain sees the river'

Word order: Subject-Object-Verb (SOV)
Vocabulary:
  aache = cat
  xuu = tree
  ma = river
  chadzchiix = stone
  miidzeixxii = fire
  eiachmiidz = child
  adze = runs
  maiicha = sees
  xiix = takes
  dzii = gives
",Translate to English: 'eiachmiidz miidzeixxii adze',The child runs the fire,translate,,,
zs_0_1_1,1,zero_shot,"Examples from an alien language:

1. 'xeieiii aache eieiii' = 'The mountain knows the cat'
2. 'eiachmiidz eim eieiii' = 'The child knows the star'
3. 'aache xuu adze' = 'The cat runs the tree'
4. 'xuu xeieiii maiicha' = 'The tree sees the mountain'
5. 'eim miidzeixxii eieiii' = 'The star knows the fire'
6. 'eim aache adze' = 'The star runs the cat'
7. 'ma ma adze' = 'The river runs the river'
8. 'xuu xuu eieiii' = 'The tree knows the tree'
9. Rule: To make a verb past tense, add 'ei' at the beginning. 'xuu' → 'eixuu'
10. Rule: To negate a word, change all 'ei' to 'ii'. 'eieiii' → 'iiiiii'
11. Rule: To negate a word, change all 'ei' to 'ii'. 'eiachmiidz' → 'iiachmiidz'
12. 'xeieiii ma maiicha' = 'The mountain sees the river'

Word order: Subject-Object-Verb (SOV)
Vocabulary:
  aache = cat
  xuu = tree
  ma = river
  chadzchiix = stone
  miidzeixxii = fire
  eiachmiidz = child
  adze = runs
  maiicha = sees
  xiix = takes
  dzii = gives
","Apply 'To negate a word, change all 'ei' to 'ii'' to 'dzii'",dzii,transform,,,
zs_0_1_2,1,zero_shot,"Examples from an alien language:

1. 'xeieiii aache eieiii' = 'The mountain knows the cat'
2. 'eiachmiidz eim eieiii' = 'The child knows the star'
3. 'aache xuu adze' = 'The cat runs the tree'
4. 'xuu xeieiii maiicha' = 'The tree sees the mountain'
5. 'eim miidzeixxii eieiii' = 'The star knows the fire'
6. 'eim aache adze' = 'The star runs the cat'
7. 'ma ma adze' = 'The river runs the river'
8. 'xuu xuu eieiii' = 'The tree knows the tree'
9. Rule: To make a verb past tense, add 'ei' at the beginning. 'xuu' → 'eixuu'
10. Rule: To negate a word, change all 'ei' to 'ii'. 'eieiii' → 'iiiiii'
11. Rule: To negate a word, change all 'ei' to 'ii'. 'eiachmiidz' → 'iiachmiidz'
12. 'xeieiii ma maiicha' = 'The mountain sees the river'

Word order: Subject-Object-Verb (SOV)
Vocabulary:
  aache = cat
  xuu = tree
  ma = river
  chadzchiix = stone
  miidzeixxii = fire
  eiachmiidz = child
  adze = runs
  maiicha = sees
  xiix = takes
  dzii = gives
",Translate to English: 'xuu eim eieiii',The tree knows the star,translate,,,
zs_0_1_3,1,zero_shot,"Examples from an alien language:

1. 'xeieiii aache eieiii' = 'The mountain knows the cat'
2. 'eiachmiidz eim eieiii' = 'The child knows the star'
3. 'aache xuu adze' = 'The cat runs the tree'
4. 'xuu xeieiii maiicha' = 'The tree sees the mountain'
5. 'eim miidzeixxii eieiii' = 'The star knows the fire'
6. 'eim aache adze' = 'The star runs the cat'
7. 'ma ma adze' = 'The river runs the river'
8. 'xuu xuu eieiii' = 'The tree knows the tree'
9. Rule: To make a verb past tense, add 'ei' at the beginning. 'xuu' → 'eixuu'
10. Rule: To negate a word, change all 'ei' to 'ii'. 'eieiii' → 'iiiiii'
11. Rule: To negate a word, change all 'ei' to 'ii'. 'eiachmiidz' → 'iiachmiidz'
12. 'xeieiii ma maiicha' = 'The mountain sees the river'

Word order: Subject-Object-Verb (SOV)
Vocabulary:
  aache = cat
  xuu = tree
  ma = river
  chadzchiix = stone
  miidzeixxii = fire
  eiachmiidz = child
  adze = runs
  maiicha = sees
  xiix = takes
  dzii = gives
",Translate to English: 'miidzeixxii xeieiii dzii',The fire gives the mountain,translate,,,
zs_0_1_4,1,zero_shot,"Examples from an alien language:

1. 'xeieiii aache eieiii' = 'The mountain knows the cat'
2. 'eiachmiidz eim eieiii' = 'The child knows the star'
3. 'aache xuu adze' = 'The cat runs the tree'
4. 'xuu xeieiii maiicha' = 'The tree sees the mountain'
5. 'eim miidzeixxii eieiii' = 'The star knows the fire'
6. 'eim aache adze' = 'The star runs the cat'
7. 'ma ma adze' = 'The river runs the river'
8. 'xuu xuu eieiii' = 'The tree knows the tree'
9. Rule: To make a verb past tense, add 'ei' at the beginning. 'xuu' → 'eixuu'
10. Rule: To negate a word, change all 'ei' to 'ii'. 'eieiii' → 'iiiiii'
11. Rule: To negate a word, change all 'ei' to 'ii'. 'eiachmiidz' → 'iiachmiidz'
12. 'xeieiii ma maiicha' = 'The mountain sees the river'

Word order: Subject-Object-Verb (SOV)
Vocabulary:
  aache = cat
  xuu = tree
  ma = river
  chadzchiix = stone
  miidzeixxii = fire
  eiachmiidz = child
  adze = runs
  maiicha = sees
  xiix = takes
  dzii = gives
",Is this grammatically correct? 'eiachmiidz chadzchiix xeeei' Answer yes/no.,yes,judge,,,
zs_0_1_5,1,zero_shot,"Examples from an alien language:

1. 'xeieiii aache eieiii' = 'The mountain knows the cat'
2. 'eiachmiidz eim eieiii' = 'The child knows the star'
3. 'aache xuu adze' = 'The cat runs the tree'
4. 'xuu xeieiii maiicha' = 'The tree sees the mountain'
5. 'eim miidzeixxii eieiii' = 'The star knows the fire'
6. 'eim aache adze' = 'The star runs the cat'
7. 'ma ma adze' = 'The river runs the river'
8. 'xuu xuu eieiii' = 'The tree knows the tree'
9. Rule: To make a verb past tense, add 'ei' at the beginning. 'xuu' → 'eixuu'
10. Rule: To negate a word, change all 'ei' to 'ii'. 'eieiii' → 'iiiiii'
11. Rule: To negate a word, change all 'ei' to 'ii'. 'eiachmiidz' → 'iiachmiidz'
12. 'xeieiii ma maiicha' = 'The mountain sees the river'

Word order: Subject-Object-Verb (SOV)
Vocabulary:
  aache = cat
  xuu = tree
  ma = river
  chadzchiix = stone
  miidzeixxii = fire
  eiachmiidz = child
  adze = runs
  maiicha = sees
  xiix = takes
  dzii = gives
","Apply 'To negate a word, change all 'ei' to 'ii'' to 'maiicha'",maiicha,transform,,,
zs_0_1_6,1,zero_shot,"Examples from an alien language:

1. 'xeieiii aache eieiii' = 'The mountain knows the cat'
2. 'eiachmiidz eim eieiii' = 'The child knows the star'
3. 'aache xuu adze' = 'The cat runs the tree'
4. 'xuu xeieiii maiicha' = 'The tree sees the mountain'
5. 'eim miidzeixxii eieiii' = 'The star knows the fire'
6. 'eim aache adze' = 'The star runs the cat'
7. 'ma ma adze' = 'The river runs the river'
8. 'xuu xuu eieiii' = 'The tree knows the tree'
9. Rule: To make a verb past tense, add 'ei' at the beginning. 'xuu' → 'eixuu'
10. Rule: To negate a word, change all 'ei' to 'ii'. 'eieiii' → 'iiiiii'
11. Rule: To negate a word, change all 'ei' to 'ii'. 'eiachmiidz' → 'iiachmiidz'
12. 'xeieiii ma maiicha' = 'The mountain sees the river'

Word order: Subject-Object-Verb (SOV)
Vocabulary:
  aache = cat
  xuu = tree
  ma = river
  chadzchiix = stone
  miidzeixxii = fire
  eiachmiidz = child
  adze = runs
  maiicha = sees
  xiix = takes
  dzii = gives
",Translate to English: 'eiachmiidz eim maiicha',The child sees the star,translate,,,
zs_0_1_7,1,zero_shot,"Examples from an alien language:

1. 'xeieiii aache eieiii' = 'The mountain knows the cat'
2. 'eiachmiidz eim eieiii' = 'The child knows the star'
3. 'aache xuu adze' = 'The cat runs the tree'
4. 'xuu xeieiii maiicha' = 'The tree sees the mountain'
5. 'eim miidzeixxii eieiii' = 'The star knows the fire'
6. 'eim aache adze' = 'The star runs the cat'
7. 'ma ma adze' = 'The river runs the river'
8. 'xuu xuu eieiii' = 'The tree knows the tree'
9. Rule: To make a verb past tense, add 'ei' at the beginning. 'xuu' → 'eixuu'
10. Rule: To negate a word, change all 'ei' to 'ii'. 'eieiii' → 'iiiiii'
11. Rule: To negate a word, change all 'ei' to 'ii'. 'eiachmiidz' → 'iiachmiidz'
12. 'xeieiii ma maiicha' = 'The mountain sees the river'

Word order: Subject-Object-Verb (SOV)
Vocabulary:
  aache = cat
  xuu = tree
  ma = river
  chadzchiix = stone
  miidzeixxii = fire
  eiachmiidz = child
  adze = runs
  maiicha = sees
  xiix = takes
  dzii = gives
",Translate to English: 'ma xeieiii eieiii',The river knows the mountain,translate,,,
zs_0_1_8,1,zero_shot,"Examples from an alien language:

1. 'xeieiii aache eieiii' = 'The mountain knows the cat'
2. 'eiachmiidz eim eieiii' = 'The child knows the star'
3. 'aache xuu adze' = 'The cat runs the tree'
4. 'xuu xeieiii maiicha' = 'The tree sees the mountain'
5. 'eim miidzeixxii eieiii' = 'The star knows the fire'
6. 'eim aache adze' = 'The star runs the cat'
7. 'ma ma adze' = 'The river runs the river'
8. 'xuu xuu eieiii' = 'The tree knows the tree'
9. Rule: To make a verb past tense, add 'ei' at the beginning. 'xuu' → 'eixuu'
10. Rule: To negate a word, change all 'ei' to 'ii'. 'eieiii' → 'iiiiii'
11. Rule: To negate a word, change all 'ei' to 'ii'. 'eiachmiidz' → 'iiachmiidz'
12. 'xeieiii ma maiicha' = 'The mountain sees the river'

Word order: Subject-Object-Verb (SOV)
Vocabulary:
  aache = cat
  xuu = tree
  ma = river
  chadzchiix = stone
  miidzeixxii = fire
  eiachmiidz = child
  adze = runs
  maiicha = sees
  xiix = takes
  dzii = gives
","Apply 'To make a verb past tense, add 'ei' at the beginning' to 'dzii'",eidzii,transform,,,
zs_0_1_9,1,zero_shot,"Examples from an alien language:

1. 'xeieiii aache eieiii' = 'The mountain knows the cat'
2. 'eiachmiidz eim eieiii' = 'The child knows the star'
3. 'aache xuu adze' = 'The cat runs the tree'
4. 'xuu xeieiii maiicha' = 'The tree sees the mountain'
5. 'eim miidzeixxii eieiii' = 'The star knows the fire'
6. 'eim aache adze' = 'The star runs the cat'
7. 'ma ma adze' = 'The river runs the river'
8. 'xuu xuu eieiii' = 'The tree knows the tree'
9. Rule: To make a verb past tense, add 'ei' at the beginning. 'xuu' → 'eixuu'
10. Rule: To negate a word, change all 'ei' to 'ii'. 'eieiii' → 'iiiiii'
11. Rule: To negate a word, change all 'ei' to 'ii'. 'eiachmiidz' → 'iiachmiidz'
12. 'xeieiii ma maiicha' = 'The mountain sees the river'

Word order: Subject-Object-Verb (SOV)
Vocabulary:
  aache = cat
  xuu = tree
  ma = river
  chadzchiix = stone
  miidzeixxii = fire
  eiachmiidz = child
  adze = runs
  maiicha = sees
  xiix = takes
  dzii = gives
",Is this grammatically correct? 'eim miidzeixxii dzii' Answer yes/no.,yes,judge,,,
