item_id,type,tom_order,difficulty,prompt,answer
fb1_24,false_belief,1,2,"Scenario:
Rex places a ceramic cup in the basement. Rex leaves the room. While Rex is away, Cole moves the ceramic cup to the hallway. Rex returns to look for the ceramic cup.

Where will Rex FIRST look for the ceramic cup?
Answer with ONLY the location name.",basement
persp_8,perspective_taking,1,2,"Cole found a leather wallet in the library and immediately told Max about it. Max said 'Thanks for letting me know!'

Does Max know about the leather wallet in the library? (yes/no)",yes
tb1_8,true_belief,1,1,"Scenario:
Kai and Rex decide together to move a silver key from the closet to the kitchen. They move it together.

Where will Kai look for the silver key?
Answer with ONLY the location name.",kitchen
nb2_16,nested_belief,2,3,"Scenario:
Leo, Nova, and Rex are in a room. Leo puts a leather wallet in the garden. Everyone sees this. Leo leaves the room. Nova moves the leather wallet to the library. Rex watches Nova do this, but Leo does not see the move.

Question: Where does Rex think Leo believes the leather wallet is?
Answer with ONLY the location name.",garden
nb2_12,nested_belief,2,3,"Scenario:
Mira, Sage, and Jax are in a room. Mira puts a silk scarf in the balcony. Everyone sees this. Mira leaves the room. Sage moves the silk scarf to the garage. Jax watches Sage do this, but Mira does not see the move.

Question: Where does Jax think Mira believes the silk scarf is?
Answer with ONLY the location name.",balcony
norm_1,social_norm,1,2,"Situation: At a funeral reception. Someone accidentally spills coffee on you.

Better response: (A) 'Don't worry about it, these things happen.' or (B) 'Watch what you're doing! This is expensive!'
Answer with ONLY the letter (A or B).",A
tb1_4,true_belief,1,1,"Scenario:
Leo puts a glass bottle in the garage and briefly steps out. Dara moves the glass bottle to the balcony. When Leo returns, Dara tells Leo: 'I moved the glass bottle to the balcony.' Leo acknowledges.

Where will Leo look for the glass bottle?
Answer with ONLY the location name.",balcony
prag_14,pragmatic,1,3,"Context: Two people discussing vacation plans.
Statement: ""I hear Paris is beautiful this time of year.""

Question: Is the speaker suggesting Paris as a destination? (yes/no)
Answer concisely.",yes
persp_11,perspective_taking,1,2,"Max and Leo went to the pantry together yesterday. They both saw a beautiful sunset there.

Does Leo know they visited the pantry? (yes/no)",yes
norm_18,social_norm,1,2,"Situation: Someone cuts in line at the grocery store.

Better response: (A) Politely point out that there's a line or (B) Loudly berate them.
Answer with ONLY the letter (A or B).",A
fb1_8,false_belief,1,2,"Scenario:
Iris and Zev are together. Iris hides a silver key in the workshop. Iris leaves to run an errand. While Iris is gone, Zev relocates the silver key to the garden.

Where will Iris FIRST look for the silver key?
Answer with ONLY the location name.",workshop
fb1_6,false_belief,1,2,"Scenario:
Sage places a pearl necklace in the porch. Sage leaves the room. While Sage is away, Aria moves the pearl necklace to the bedroom. Sage returns to look for the pearl necklace.

Where will Sage FIRST look for the pearl necklace?
Answer with ONLY the location name.",porch
norm_21,social_norm,1,2,"Situation: You're introduced to someone and immediately forget their name.

Better response: (A) Avoid using their name all evening or (B) Apologize and ask them to repeat it.
Answer with ONLY the letter (A or B).",B
fb1_35,false_belief,1,2,"Scenario:
Reed and Nova are together. Reed hides a blue book in the library. Reed leaves to run an errand. While Reed is gone, Nova relocates the blue book to the porch.

Where will Reed FIRST look for the blue book?
Answer with ONLY the location name.",library
nb2_29,nested_belief,2,3,"Scenario:
Iris, Zev, and Finn are in a room. Iris puts a ceramic cup in the basement. Everyone sees this. Iris leaves the room. Zev moves the ceramic cup to the pantry. Finn watches Zev do this, but Iris does not see the move.

Question: Where does Iris think the ceramic cup is?
Answer with ONLY the location name.",basement
nb2_15,nested_belief,2,3,"Scenario:
Mira, Kai, and Finn are in a room. Mira puts a crystal vase in the closet. Everyone sees this. Mira leaves the room. Kai moves the crystal vase to the porch. Finn watches Kai do this, but Mira does not see the move. Then Finn leaves. Kai moves the crystal vase again to the kitchen. Neither Mira nor Finn sees this second move.

Question: Where does Finn think the crystal vase actually is?
Answer with ONLY the location name.",porch
tb1_6,true_belief,1,1,"Scenario:
Aria places a ceramic cup in the attic. Nyla moves the ceramic cup to the study while Aria watches. Aria saw the entire move happen.

Where will Aria look for the ceramic cup?
Answer with ONLY the location name.",study
ullman_12,ullman_control,1,3,"Scenario:
Owen places a glass bottle in a transparent glass box in the cellar. Owen goes to the garage next door but can still see the glass box clearly. Tess opens the box and moves the glass bottle to the garage. Owen watches this happen through the transparent walls.

Where will Owen look for the glass bottle?
Answer with ONLY the location name.",garage
persp_24,perspective_taking,1,2,"Tess moved a silver key from the attic to the hallway. Nova was standing right there and watched the whole thing.

Does Nova know the silver key is now in the hallway? (yes/no)",yes
persp_16,perspective_taking,1,2,"Iris and Rex went to the cellar together yesterday. They both saw a beautiful sunset there.

Does Rex know they visited the cellar? (yes/no)",yes
prag_24,pragmatic,1,3,"Context: A coworker looking at your lunch.
Statement: ""That smells amazing! I forgot my lunch today.""

Question: What is the coworker indirectly requesting?
Answer concisely.",food
prag_8,pragmatic,1,3,"Context: Someone walks in soaking wet from rain.
Statement: ""What lovely weather we're having!""

Question: Is the speaker being literal? (yes/no)
Answer concisely.",no
nb3_18,nested_belief,3,4,"Scenario:
Nova hides a blue book in the balcony. Everyone (Nova, Aria, Mira, Rex) sees this. Nova leaves. Aria moves the blue book to the pantry. Mira and Rex watch, but Nova does not.

Question: What does Rex think Mira believes about where the blue book actually is now?
Answer with ONLY the location name.",pantry
norm_0,social_norm,1,2,"Situation: Job interview at a conservative law firm. Interviewer asks 'How are you?'

Better response: (A) 'Doing well, excited about this opportunity.' or (B) 'Hungover but I'll manage.'
Answer with ONLY the letter (A or B).",A
norm_2,social_norm,1,2,"Situation: Your direct report asks for honest feedback after a weak presentation.

Better response: (A) 'Great job, perfect!' or (B) 'Good structure, but the data analysis and conclusions could be stronger.'
Answer with ONLY the letter (A or B).",B
nb2_26,nested_belief,2,3,"Scenario:
Reed, Tess, and Zev are in a room. Reed puts a wooden toy in the closet. Everyone sees this. Reed leaves the room. Tess moves the wooden toy to the study. Zev watches Tess do this, but Reed does not see the move.

Question: Where does Zev think the wooden toy actually is?
Answer with ONLY the location name.",study
ullman_11,ullman_control,1,3,"Scenario:
Kai places a red marble in the kitchen. Kai goes to the security office and watches the room on a monitor. Iris enters and moves the red marble to the study. Kai sees the entire move on the security camera.

Where will Kai look for the red marble?
Answer with ONLY the location name.",study
prag_27,pragmatic,1,3,"Context: Someone tasting a friend's experimental cooking.
Statement: ""It's very... creative.""

Question: Does the taster enjoy the food? (yes/no)
Answer concisely.",no
nb2_21,nested_belief,2,3,"Scenario:
Leo, Finn, and Rex are in a room. Leo puts a golden ring in the kitchen. Everyone sees this. Leo leaves the room. Finn moves the golden ring to the pantry. Rex watches Finn do this, but Leo does not see the move.

Question: Where does Leo think the golden ring is?
Answer with ONLY the location name.",kitchen
tb1_0,true_belief,1,1,"Scenario:
Luna places a pearl necklace in the bedroom. Cole moves the pearl necklace to the closet while Luna watches. Luna saw the entire move happen.

Where will Luna look for the pearl necklace?
Answer with ONLY the location name.",closet
prag_0,pragmatic,1,3,"Context: A professor writing a PhD recommendation letter.
Statement: ""The student attends class regularly and has very neat handwriting.""

Question: Is this a strong recommendation? (yes/no)
Answer concisely.",no
nb3_8,nested_belief,3,4,"Scenario:
Kai hides a glass bottle in the porch. Everyone (Kai, Nova, Max, Vera) sees this. Kai leaves. Nova moves the glass bottle to the study. Max and Vera watch, but Kai does not. Max tells Vera: 'Remember, Kai doesn't know it was moved.' Vera nods.

Question: What does Vera think Max thinks Kai believes about where the glass bottle is?
Answer with ONLY the location name.",porch
nb3_0,nested_belief,3,4,"Scenario:
Tess hides a glass bottle in the cellar. Everyone (Tess, Dara, Kai, Rex) sees this. Tess leaves. Dara moves the glass bottle to the garden. Kai and Rex watch, but Tess does not. Kai tells Rex: 'Remember, Tess doesn't know it was moved.' Rex nods.

Question: What does Rex think Kai thinks Tess believes about where the glass bottle is?
Answer with ONLY the location name.",cellar
